target	level	status	detail
tcnative/2.0.81.Final/aarch64+patchelf+shim	A	PASS	loaded libnetty_tcnative_linux_aarch_64.so
epoll/4.2.12.Final/x86_64/libc6-compat	A	PASS	loaded libnetty_transport_native_epoll_x86_64.so
epoll/4.2.17.Final/x86_64/libc6-compat	A	PASS	loaded libnetty_transport_native_epoll_x86_64.so
tcnative/2.0.65.Final/x86_64/libc6-compat	A	PASS	loaded libnetty_tcnative_linux_x86_64.so
tcnative/2.0.73.Final/x86_64/libc6-compat	A	PASS	loaded libnetty_tcnative_linux_x86_64.so
tcnative/2.0.75.Final/x86_64/libc6-compat	A	PASS	loaded libnetty_tcnative_linux_x86_64.so
tcnative/2.0.81.Final/x86_64/libc6-compat	A	PASS	loaded libnetty_tcnative_linux_x86_64.so
asyncProfiler/4.1/x86_64/libc6-compat	A	PASS	loaded libasyncProfiler-x86_64.so
epoll/4.2.12.Final/x86_64/libc6-compat	B-epoll	PASS	Epoll.isAvailable()=true
epoll/4.2.17.Final/x86_64/libc6-compat	B-epoll	PASS	Epoll.isAvailable()=true
tcnative/2.0.65.Final/x86_64/libc6-compat	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
tcnative/2.0.73.Final/x86_64/libc6-compat	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
tcnative/2.0.75.Final/x86_64/libc6-compat	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
tcnative/2.0.81.Final/x86_64/libc6-compat	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
epoll/4.2.12.Final/aarch64/full	A	PASS	loaded libnetty_transport_native_epoll_aarch_64.so
epoll/4.2.17.Final/aarch64/full	A	PASS	loaded libnetty_transport_native_epoll_aarch_64.so
tcnative/2.0.65.Final/aarch64/full	A	PASS	loaded libnetty_tcnative_linux_aarch_64.so
tcnative/2.0.73.Final/aarch64/full	A	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_64.so+0x2466c
tcnative/2.0.75.Final/aarch64/full	A	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_64.so+0x2466c
tcnative/2.0.81.Final/aarch64/full	A	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_64.so+0x2476c
asyncProfiler/4.1/aarch64/full	A	PASS	loaded libasyncProfiler-aarch_64.so
epoll/4.2.12.Final/aarch64/full	B-epoll	PASS	Epoll.isAvailable()=true
epoll/4.2.17.Final/aarch64/full	B-epoll	PASS	Epoll.isAvailable()=true
tcnative/2.0.65.Final/aarch64/full	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
tcnative/2.0.73.Final/aarch64/full	B-openssl	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_6417852273939624083155.so+0x2466c
tcnative/2.0.75.Final/aarch64/full	B-openssl	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_6415042990680852284108.so+0x2466c
tcnative/2.0.81.Final/aarch64/full	B-openssl	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_646512294374358995542.so+0x2476c
epoll/4.2.12.Final/x86_64/gcompat	A	PASS	loaded libnetty_transport_native_epoll_x86_64.so
epoll/4.2.17.Final/x86_64/gcompat	A	PASS	loaded libnetty_transport_native_epoll_x86_64.so
tcnative/2.0.65.Final/x86_64/gcompat	A	PASS	loaded libnetty_tcnative_linux_x86_64.so
tcnative/2.0.73.Final/x86_64/gcompat	A	PASS	loaded libnetty_tcnative_linux_x86_64.so
tcnative/2.0.75.Final/x86_64/gcompat	A	PASS	loaded libnetty_tcnative_linux_x86_64.so
tcnative/2.0.81.Final/x86_64/gcompat	A	PASS	loaded libnetty_tcnative_linux_x86_64.so
asyncProfiler/4.1/x86_64/gcompat	A	PASS	loaded libasyncProfiler-x86_64.so
epoll/4.2.12.Final/x86_64/gcompat	B-epoll	PASS	Epoll.isAvailable()=true
epoll/4.2.17.Final/x86_64/gcompat	B-epoll	PASS	Epoll.isAvailable()=true
tcnative/2.0.65.Final/x86_64/gcompat	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
tcnative/2.0.73.Final/x86_64/gcompat	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
tcnative/2.0.75.Final/x86_64/gcompat	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
tcnative/2.0.81.Final/x86_64/gcompat	B-openssl	PASS	OpenSsl.isAvailable()=true BoringSSL
epoll/4.2.12.Final/aarch64/libc6-compat	A	PASS	loaded libnetty_transport_native_epoll_aarch_64.so
epoll/4.2.17.Final/aarch64/libc6-compat	A	PASS	loaded libnetty_transport_native_epoll_aarch_64.so
tcnative/2.0.65.Final/aarch64/libc6-compat	A	PASS	loaded libnetty_tcnative_linux_aarch_64.so
tcnative/2.0.73.Final/aarch64/libc6-compat	A	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_64.so+0x2466c
tcnative/2.0.75.Final/aarch64/libc6-compat	A	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_64.so+0x2466c
tcnative/2.0.81.Final/aarch64/libc6-compat	A	FAIL	JVM-CRASH exit=1 in libnetty_tcnative_linux_aarch_64.so+0x2476c
asyncProfiler/4.1/aarch64/libc6-compat	A	PASS	loaded libasyncProfiler-aarch_64.so
epoll/4.2.12.Final/aarch64/libc6-compat	B-epoll	PASS	Epoll.isAvailable()=true
epoll/4.2.17.Final/aarch64/libc6-compat	B-epoll	PASS	Epoll.isAvailable()=true
